,person_id,id,role,title,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
138,29434,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
139,70452,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
140,20032,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
141,66907,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
142,92956,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
143,95111,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
144,96235,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
145,71879,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
146,17920,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
147,22464,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
148,22474,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
149,36157,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
150,32994,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
151,102105,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
152,7781,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
153,12880,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
154,132399,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
155,517599,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
156,13326,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
157,22454,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
158,523436,tm185072,ACTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
159,13439,tm185072,DIRECTOR,My Fair Lady,1964,G,170,"[''drama'', ''music'', ''romance'', ''family'']",['US'],tt0058385,bad_score,50000-99999,15.949,7.6
160,14989,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
161,44313,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
162,36764,tm98978,ACTOR,The Blue Lagoon,1980,R,104,"[''romance'', ''drama'']",['US'],tt0080453,bad_score,50000-99999,44.038,6.2
