index,person_id,id,name,role
357,499165,tm96649,Amy Stryker,ACTOR
358,236701,tm96649,James Whitmore Jr.,ACTOR
359,103745,tm96649,John Bottoms,ACTOR
360,510469,tm96649,West Buchanan,ACTOR
361,16449,tm96649,Edward Bunker,ACTOR
362,510971,tm96649,Martina Deignan,ACTOR
363,14610,tm96649,Allan Graf,ACTOR
364,2429,tm96649,Chris Mulkey,ACTOR
365,1516234,tm96649,Thomas Myers,ACTOR
366,2081617,tm96649,Marlise Karlin,ACTOR
367,477781,tm96649,Glenn Robards,ACTOR
368,477969,tm96649,Tim Rossovich,ACTOR
369,12578,tm96649,Lin Shaye,ACTOR
370,495571,tm96649,Gary Watkins,ACTOR
371,15955,tm96649,Peter Jason,ACTOR
372,51314,tm96649,Duke Stroud,ACTOR
373,10505,tm96649,Steven Chambers,ACTOR
374,33594,tm96649,William Traylor,ACTOR
375,20123,tm96649,J. Don Ferguson,ACTOR
376,2081747,tm96649,Hugh McGraw,ACTOR
377,1780983,tm96649,Prentiss Rowe,ACTOR
378,2081774,tm96649,Stuart Mossman,ACTOR
379,948516,tm96649,Michael Lackey,ACTOR
380,2081848,tm96649,Mitch Greenhill,ACTOR
381,76226,tm96649,Bill Bryson,ACTOR
382,2081927,tm96649,Tom Sauber,ACTOR
383,1739250,tm96649,Jimmy Medearis,ACTOR
384,2081675,tm96649,Edgar McLeod,ACTOR
385,12108,tm96649,Luis Contreras,ACTOR
386,434506,tm96649,Kalen Keach,ACTOR
387,2081881,tm96649,R.B. Thrift,ACTOR
388,31821,tm96649,Ry Cooder,ACTOR
389,863658,tm96649,George D. Miklos,ACTOR
390,352662,tm96649,Bill Rampley,ACTOR
391,5104,tm96649,Walter Hill,DIRECTOR
392,25056,tm16479,Bing Crosby,ACTOR
393,60326,tm16479,Danny Kaye,ACTOR
394,74992,tm16479,Rosemary Clooney,ACTOR
395,74993,tm16479,Vera-Ellen,ACTOR
396,41874,tm16479,Dean Jagger,ACTOR
397,27535,tm16479,Mary Wickes,ACTOR
398,74994,tm16479,John Brascia,ACTOR
399,74995,tm16479,Anne Whitfield,ACTOR
400,74996,tm16479,Bea Allen,ACTOR
401,36157,tm16479,Frank Baker,ACTOR
402,74997,tm16479,Glen Cargyle,ACTOR
403,25098,tm16479,George Chakiris,ACTOR
404,100934,tm16479,Barrie Chase,ACTOR
405,1023889,tm16479,Lorinne Crawford,ACTOR
406,22477,tm16479,Franklyn Farnum,ACTOR
407,14166,tm16479,Bess Flowers,ACTOR
408,36504,tm16479,Gavin Gordon,ACTOR
409,422099,tm16479,Johnny Grant,ACTOR
410,57838,tm16479,Percy Helton,ACTOR
411,88997,tm16479,I. Stanford Jolley,ACTOR
412,45687,tm16479,Sig Ruman,ACTOR
413,132394,tm16479,Grady Sutton,ACTOR
414,71905,tm16479,Herb Vigran,ACTOR
415,498631,tm16479,Robert Crosson,ACTOR
416,14797,tm16479,Michael Curtiz,DIRECTOR
417,173189,tm135083,Farid Shawqi,ACTOR
