,title,id,imdb_id,imdb_score,imdb_votes,person_id,name,role
756,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77539,Kinetic,ACTOR
764,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77544,Sharon Pierre-Louis,ACTOR
769,Django Unchained,tm41792,tt1853728,8.4,1472668.0,16598,Rex Linn,ACTOR
758,Django Unchained,tm41792,tt1853728,8.4,1472668.0,56098,Kim Robillard,ACTOR
760,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77540,Shannon Hazlett,ACTOR
761,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77541,Jack Lucarelli,ACTOR
762,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77542,Victoria Thomas,ACTOR
763,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77543,Grace Collins,ACTOR
743,Django Unchained,tm41792,tt1853728,8.4,1472668.0,14874,Michael Bowen,ACTOR
765,Django Unchained,tm41792,tt1853728,8.4,1472668.0,3344,Christopher Berry,ACTOR
767,Django Unchained,tm41792,tt1853728,8.4,1472668.0,4412,Dane Rhodes,ACTOR
759,Django Unchained,tm41792,tt1853728,8.4,1472668.0,34757,Shana Stein,ACTOR
724,Django Unchained,tm41792,tt1853728,8.4,1472668.0,6265,Laura Cayouette,ACTOR
746,Django Unchained,tm41792,tt1853728,8.4,1472668.0,45010,Ted Neeley,ACTOR
741,Django Unchained,tm41792,tt1853728,8.4,1472668.0,2260,Lee Horsley,ACTOR
770,Django Unchained,tm41792,tt1853728,8.4,1472668.0,3700,Michael Bacall,ACTOR
727,Django Unchained,tm41792,tt1853728,8.4,1472668.0,76673,Clay Donahue Fontenot,ACTOR
757,Django Unchained,tm41792,tt1853728,8.4,1472668.0,54074,Louise Stratten,ACTOR
742,Django Unchained,tm41792,tt1853728,8.4,1472668.0,2259,Zoë Bell,ACTOR
729,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77535,Miriam F. Glover,ACTOR
740,Django Unchained,tm41792,tt1853728,8.4,1472668.0,4073,Jonah Hill,ACTOR
715,Django Unchained,tm41792,tt1853728,8.4,1472668.0,1641,Leonardo DiCaprio,ACTOR
716,Django Unchained,tm41792,tt1853728,8.4,1472668.0,6194,Kerry Washington,ACTOR
717,Django Unchained,tm41792,tt1853728,8.4,1472668.0,1852,Samuel L. Jackson,ACTOR
771,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77546,Ronan Hice,ACTOR
718,Django Unchained,tm41792,tt1853728,8.4,1472668.0,2251,Walton Goggins,ACTOR
720,Django Unchained,tm41792,tt1853728,8.4,1472668.0,7551,James Remar,ACTOR
721,Django Unchained,tm41792,tt1853728,8.4,1472668.0,77532,David Steen,ACTOR
